年,地區,土地面積,年底人口數男性,年底人口數女性,年底人口數,年底戶數,戶量,人口密度,外僑居住人數,年齡0~14歲,年齡0~14歲百分比,年齡15~64歲,年齡15~64歲百分比,年齡65歲以上,年齡65歲以上百分比,扶養百分比
2017,臺閩地區,36197.0669,11719580,11851647,23571227,8649000,2.73,651.19,717736,3091873,13.12,17211341,73.02,3268013,13.86,36.95171689
2017,臺灣地區,36016.6109,11643509,11777382,23420891,8606223,2.721390208,650.2802572,716415,3076779,12.64,17094291,72.1,3249821,15.26,37.01001697
2017,北部區域,7353.3939,5241683,5437646,10679329,4059900,2.63044139,1452.299325,345698,1462498,13.6946619,7797268,73.01271456,1419563,13.29262353,36.96244633
2017,臺北市,271.7997,1281917,1401340,2683257,1050755,2.55,9872.19,65388,369872,13.78,1874209,69.85,439176,16.37,43.16743757
2017,新北市,2052.5667,1953397,2033292,3986689,1543098,2.58,1942.29,101023,498155,12.5,2986137,74.9,502397,12.6,33.50656718
2017,基隆市,132.7589,185870,185588,371458,152781,2.43,2797.99,6288,39601,10.66,276832,74.53,55025,14.81,34.181742
2017,新竹市,104.1526,217831,223301,441132,163130,2.7,4235.44,16101,76216,17.28,314160,71.22,50756,11.51,40.41634836
2017,桃園市,1220.954,1089619,1098398,2188017,790376,2.77,1792.06,113899,331649,15.16,1620364,74.06,236004,10.79,35.03243716
2017,新竹縣,1427.5369,282073,270096,552169,191171,2.89,386.8,30355,91331,16.54,394658,71.47,66180,11.99,39.91075818
2017,宜蘭縣,2143.6251,230976,225631,456607,168589,2.71,213.01,12644,55674,12.19,330908,72.47,70025,15.34,37.98608677
2017,中部區域,10506.8763,2928486,2886273,5814759,1952337,2.978358245,553.4241419,203517,787366,13.54081915,4227982,72.71121641,799411,13.74796445,37.53036319
2017,臺中市,2214.8968,1374085,1412985,2787070,959023,2.91,1258.33,100414,407467,14.62,2059022,73.88,320581,11.5,35.35892283
2017,苗栗縣,1820.3149,285844,267963,553807,187846,2.95,304.24,21276,72200,13.04,396246,71.55,85361,15.41,39.76342979
2017,彰化縣,1074.396,653646,628812,1282458,387166,3.31,1193.65,50993,170450,13.29,922509,71.93,189499,14.78,39.01848112
2017,南投縣,4106.436,256732,244319,501051,178012,2.81,122.02,12252,55733,11.12,362538,72.36,82780,16.52,38.20647767
2017,雲林縣,1290.8326,358179,332194,690373,240290,2.87,534.83,18582,81516,11.81,487667,70.64,121190,17.55,41.56647877
2017,南部區域,10009.6322,3192783,3185243,6378026,2385181,2.674021804,637.188847,157534,760430,11.92265444,4671379,73.24176791,946217,14.83557765,36.53411551
2017,高雄市,2951.8524,1375515,1401397,2776912,1092219,2.54,940.74,63689,336948,12.13,2045103,73.65,394861,14.22,35.78347888
2017,臺南市,2191.6531,942278,944244,1886522,683814,2.76,860.78,59265,233691,12.39,1381516,73.23,271315,14.38,36.55448073
2017,嘉義市,60.0256,130974,138424,269398,99476,2.71,4488.05,3669,37604,13.96,193654,71.88,38140,14.16,39.11305731
2017,嘉義縣,1903.6367,265882,245300,511182,182890,2.8,268.53,13006,50176,9.82,366622,71.72,94384,18.46,39.43025787
2017,屏東縣,2775.6003,424486,405453,829939,286844,2.89,299.01,15102,90673,10.93,607919,73.25,131347,15.83,36.52131287
2017,澎湖縣,126.8641,53648,50425,104073,39938,2.61,820.35,2803,11338,10.89,76565,73.57,16170,15.54,35.92764318
2017,東部區域,8504.736,280557,268220,548777,294359,2.885758547,99.87952595,9666,66485,12.11512144,397662,72.46331388,84630,15.42156468,38.00086506
2017,花蓮縣,4628.5714,167179,162058,329237,125936,2.61,71.13,6975,40087,12.18,238678,72.49,50472,15.33,37.94191337
2017,臺東縣,3515.2526,113378,106162,219540,82869,2.65,62.45,2691,26398,12.02,158984,72.42,34158,15.56,38.08936748
2017,福建省,180.456,76071,74265,150336,42777,3.51,833.09,1321,15094,10.04,117050,77.86,18192,12.1,28.43741991
2017,金門縣,151.656,68722,68734,137456,39923,3.44,906.37,1102,13520,9.84,107105,77.92,16831,12.24,28.33761262
2017,連江縣,28.8,7349,5531,12880,2854,4.51,447.22,219,1574,12.22,9945,77.21,1361,10.57,29.51231775
